Request time on server, client time on server, client working time 
0.0788074, 60.309315533333326, 250.4
0.07751862222222221, 109.02309308888888, 456.1333333333333
0.07582731999999999, 295.27050282666664, 1185.44
0.07913988571428571, 630.1125347714286, 2452.457142857143
0.0565686, 511.1332495851851, 2054.8
0.08103719999999999, 618.77338212, 2229.24
0.07791040666666667, 346.5722943666667, 1537.36
0.07870316, 330.1153669266667, 1362.1
0.07962199358974359, 496.9775024102564, 1952.519230769231
0.07869628666666667, 556.4281215333333, 2315.74
